playerName,position_x,team,games_x,points,assists,totalRb,steals,blocks,turnovers,effectFgPercent,season,position_y,games_y,per,usagePercent,offensiveWs,defensiveWs,winShares,offensiveBox,defensiveBox,vorp,PPG,APG,RPG,SPG,BPG,full_team_name,ranking,wins,win_percentage
Shareef Abdur-Rahim,SF,VAN,50,1152,172,374,69,55,186,0.438,1999,SF,50,20.7,28.900,3.7,0.9,4.6,2.9,-0.9,2.1,23.04,3.44,7.48,1.38,1.1,Vancouver Grizzlies,27,8,0.16
Ray Allen*,SG,MIL,50,856,178,212,53,7,122,0.505,1999,SG,50,18.9,24.500,4.2,1.1,5.2,3.5,-1.0,1.9,17.12,3.56,4.24,1.06,0.14,Milwaukee Bucks,9,28,0.56
Charles Barkley*,PF,HOU,42,676,192,516,43,13,100,0.482,1999,PF,42,23.1,22.200,4.8,2.0,6.8,4.3,0.3,2.5,16.095238095238095,4.571428571428571,12.285714285714286,1.0238095238095237,0.30952380952380953,Houston Rockets,6,31,0.62
Kobe Bryant*,SG,LAL,50,996,190,264,72,50,157,0.482,1999,SG,50,18.9,25.300,3.7,1.5,5.2,2.1,-0.1,1.9,19.92,3.8,5.28,1.44,1.0,Los Angeles Lakers,5,31,0.62
Vince Carter,SF,TOR,50,913,149,283,55,77,110,0.463,1999,SF,50,19.6,25.600,3.6,1.4,5.0,3.1,-0.4,2.1,18.26,2.98,5.66,1.1,1.54,Toronto Raptors,17,23,0.46
Doug Christie,SG,TOR,50,760,187,207,113,26,119,0.425,1999,SG,50,16.9,22.500,2.5,1.7,4.2,1.0,0.5,1.6,15.2,3.74,4.14,2.26,0.52,Toronto Raptors,17,23,0.46
Tim Duncan*,PF,SAS,50,1084,121,571,45,126,146,0.495,1999,PF,50,23.2,27.200,4.0,4.7,8.7,2.7,1.8,3.2,21.68,2.42,11.42,0.9,2.52,San Antonio Spurs,0,37,0.74
Michael Finley,SF,DAL,50,1009,218,263,66,15,107,0.470,1999,SF,50,19.2,24.200,4.4,0.9,5.4,2.8,-0.9,2.1,20.18,4.36,5.26,1.32,0.3,Dallas Mavericks,20,19,0.38
Kevin Garnett*,PF,MIN,47,977,202,489,78,83,135,0.462,1999,PF,47,22.4,27.800,2.4,3.0,5.4,3.6,1.7,3.3,20.78723404255319,4.297872340425532,10.404255319148936,1.6595744680851063,1.7659574468085106,Minnesota Timberwolves,16,25,0.5
Tom Gugliotta,PF,PHO,43,729,121,381,59,21,88,0.485,1999,PF,43,20.0,22.400,3.7,1.7,5.4,2.0,-0.2,1.5,16.953488372093023,2.813953488372093,8.86046511627907,1.372093023255814,0.4883720930232558,Phoenix Suns,12,27,0.54
Anfernee Hardaway,SG,ORL,50,791,266,284,111,23,150,0.448,1999,SG,50,16.7,22.400,1.6,3.4,5.0,0.8,2.0,2.3,15.82,5.32,5.68,2.22,0.46,Orlando Magic,3,33,0.66
Tim Hardaway*,PG,MIA,48,835,352,152,57,6,131,0.475,1999,PG,48,18.8,26.500,3.4,1.9,5.4,4.2,-0.9,2.4,17.395833333333332,7.333333333333333,3.1666666666666665,1.1875,0.125,Miami Heat,4,33,0.66
Grant Hill*,SF,DET,50,1053,300,355,80,27,184,0.479,1999,SF,50,23.9,29.600,4.5,2.8,7.3,4.8,1.4,3.8,21.06,6.0,7.1,1.6,0.54,Detroit Pistons,8,29,0.58
Allan Houston,SG,NYK,50,813,137,152,35,9,130,0.459,1999,SG,50,13.1,24.300,1.1,1.8,2.9,0.0,-0.7,0.6,16.26,2.74,3.04,0.7,0.18,New York Knicks,13,27,0.54
Allen Iverson*,SG,PHI,48,1284,223,236,110,7,167,0.439,1999,SG,48,22.2,32.600,4.3,2.9,7.2,5.1,0.6,3.9,26.75,4.645833333333333,4.916666666666667,2.2916666666666665,0.14583333333333334,Philadelphia 76ers,10,28,0.56
Paul Pierce*,SF,BOS,48,791,115,309,82,50,113,0.504,1999,SF,48,19.2,23.100,2.9,2.0,4.9,3.4,0.3,2.3,16.479166666666668,2.3958333333333335,6.4375,1.7083333333333333,1.0416666666666667,Boston Celtics,21,19,0.38
Shawn Kemp,PF,CLE,42,862,101,388,48,45,127,0.483,1999,PF,42,23.6,28.900,4.2,2.1,6.3,3.8,0.4,2.3,20.523809523809526,2.4047619047619047,9.238095238095237,1.1428571428571428,1.0714285714285714,Cleveland Cavaliers,18,22,0.44
Jason Kidd*,PG,PHO,50,846,539,339,114,19,150,0.476,1999,PG,50,22.5,21.400,5.8,2.3,8.1,4.4,1.1,3.9,16.92,10.78,6.78,2.28,0.38,Phoenix Suns,12,27,0.54
Toni Kukoč*,SF,CHI,44,828,235,310,49,11,121,0.446,1999,SF,44,18.6,27.500,1.3,1.5,2.8,3.3,-0.3,2.1,18.818181818181817,5.340909090909091,7.045454545454546,1.1136363636363635,0.25,Chicago Bulls,25,13,0.26
Karl Malone*,PF,UTA,49,1164,201,463,62,28,162,0.493,1999,PF,49,25.6,30.500,6.2,3.4,9.6,5.3,1.4,4.0,23.755102040816325,4.1020408163265305,9.448979591836734,1.2653061224489797,0.5714285714285714,Utah Jazz,-1,37,0.74
Antonio McDyess,C,DEN,50,1061,82,537,73,115,138,0.471,1999,C,50,21.7,27.300,2.9,1.3,4.2,1.4,-0.7,1.3,21.22,1.64,10.74,1.46,2.3,Denver Nuggets,24,14,0.28
Ron Mercer,SG,BOS,41,698,104,155,67,12,89,0.435,1999,SG,41,13.5,24.200,0.1,1.2,1.3,-1.5,-0.8,-0.1,17.024390243902438,2.5365853658536586,3.7804878048780486,1.6341463414634145,0.2926829268292683,Boston Celtics,21,19,0.38
Reggie Miller*,SG,IND,50,920,112,135,37,9,76,0.517,1999,SG,50,18.7,22.900,6.0,0.4,6.4,4.3,-1.2,2.3,18.4,2.24,2.7,0.74,0.18,Indiana Pacers,2,33,0.66
Alonzo Mourning*,C,MIA,46,924,74,507,34,180,139,0.511,1999,C,46,24.6,27.100,4.0,3.9,7.9,2.5,2.2,3.0,20.08695652173913,1.608695652173913,11.021739130434783,0.7391304347826086,3.9130434782608696,Miami Heat,4,33,0.66
Shaquille O'Neal*,C,LAL,49,1289,114,525,36,82,122,0.576,1999,C,49,30.6,32.400,7.2,1.9,9.0,7.5,-0.4,3.9,26.306122448979593,2.326530612244898,10.714285714285714,0.7346938775510204,1.6734693877551021,Los Angeles Lakers,5,31,0.62
Hakeem Olajuwon*,C,HOU,50,945,88,478,82,123,139,0.517,1999,C,50,23.1,25.900,3.2,3.3,6.5,1.4,1.8,2.3,18.9,1.76,9.56,1.64,2.46,Houston Rockets,6,31,0.62
Gary Payton*,PG,SEA,50,1084,436,244,109,12,154,0.479,1999,PG,50,23.1,27.100,6.0,1.2,7.2,5.1,0.0,3.6,21.68,8.72,4.88,2.18,0.24,Seattle SuperSonics,15,25,0.5
Mitch Richmond*,SG,WAS,50,983,122,172,64,10,136,0.456,1999,SG,50,15.5,25.700,2.2,1.0,3.3,0.9,-1.2,0.9,19.66,2.44,3.44,1.28,0.2,Washington Wizards,22,18,0.36
Clifford Robinson,SF,PHO,50,819,128,227,75,59,88,0.521,1999,SF,50,18.3,21.800,3.6,1.7,5.3,2.2,0.6,2.1,16.38,2.56,4.54,1.5,1.18,Phoenix Suns,12,27,0.54
David Robinson*,C,SAS,49,775,103,492,69,119,108,0.509,1999,C,49,24.9,23.800,4.0,4.4,8.4,3.2,3.5,3.4,15.816326530612244,2.1020408163265305,10.040816326530612,1.4081632653061225,2.4285714285714284,San Antonio Spurs,0,37,0.74
Glenn Robinson,SF,MIL,47,865,100,276,46,41,106,0.479,1999,SF,47,19.7,28.200,2.5,1.5,4.0,2.7,-0.8,1.5,18.404255319148938,2.127659574468085,5.872340425531915,0.9787234042553191,0.8723404255319149,Milwaukee Bucks,9,28,0.56
Detlef Schrempf,SF,SEA,50,752,184,370,41,26,103,0.503,1999,SF,50,18.4,19.500,4.7,1.1,5.8,2.1,-0.1,1.8,15.04,3.68,7.4,0.82,0.52,Seattle SuperSonics,15,25,0.5
Rod Strickland,PG,WAS,44,690,434,212,76,5,142,0.426,1999,PG,44,20.2,24.000,2.8,1.3,4.1,3.4,-0.3,2.1,15.681818181818182,9.863636363636363,4.818181818181818,1.7272727272727273,0.11363636363636363,Washington Wizards,22,18,0.36
Maurice Taylor,PF,LAC,46,773,67,242,16,29,120,0.461,1999,PF,46,15.2,26.700,1.2,-0.5,0.7,-0.7,-3.5,-0.9,16.804347826086957,1.4565217391304348,5.260869565217392,0.34782608695652173,0.6304347826086957,Los Angeles Clippers,26,9,0.18
Gary Trent,PF,DAL,45,719,77,351,29,23,66,0.477,1999,PF,45,20.8,26.000,3.0,1.0,4.0,2.6,-1.4,1.1,15.977777777777778,1.711111111111111,7.8,0.6444444444444445,0.5111111111111111,Dallas Mavericks,20,19,0.38
Nick Van Exel,PG,DEN,50,826,368,113,40,3,121,0.445,1999,PG,50,16.7,24.300,3.2,-1.0,2.2,2.6,-3.4,0.6,16.52,7.36,2.26,0.8,0.06,Denver Nuggets,24,14,0.28
Keith Van Horn,PF,NJN,42,916,65,358,43,53,133,0.439,1999,PF,42,19.6,28.500,2.3,1.4,3.7,2.0,-0.8,1.3,21.80952380952381,1.5476190476190477,8.523809523809524,1.0238095238095237,1.2619047619047619,New Jersey Nets,23,16,0.32
Antoine Walker,PF,BOS,42,784,130,359,63,28,119,0.456,1999,PF,42,17.0,27.200,0.6,1.9,2.6,1.6,-0.6,1.2,18.666666666666668,3.0952380952380953,8.547619047619047,1.5,0.6666666666666666,Boston Celtics,21,19,0.38
Chris Webber*,PF,SAC,42,839,173,545,60,89,148,0.488,1999,PF,42,19.5,24.900,1.0,2.7,3.6,0.8,1.1,1.7,19.976190476190474,4.119047619047619,12.976190476190476,1.4285714285714286,2.119047619047619,Sacramento Kings,11,27,0.54
Shareef Abdur-Rahim,SF,VAN,82,1663,271,825,89,87,249,0.477,2000,SF,82,20.2,25.000,6.2,2.6,8.8,2.6,-0.4,3.4,20.28048780487805,3.3048780487804876,10.060975609756097,1.0853658536585367,1.0609756097560976,Vancouver Grizzlies,27,22,0.268
