season,teamName,wins,topWsPlayer
2000,Atlanta Hawks,28,D. Mutombo
2000,Boston Celtics,35,P. Pierce
2000,Chicago Bulls,17,E. Brand
2000,Cleveland Cavaliers,32,A. Miller
2000,Dallas Mavericks,40,M. Finley
2000,Denver Nuggets,35,A. McDyess
2000,Detroit Pistons*,42,G. Hill
2000,Golden State Warriors,19,D. Marshall
2000,Houston Rockets,34,S. Francis
2000,Indiana Pacers*,56,R. Miller
2000,Los Angeles Clippers,15,D. Anderson
2000,Los Angeles Lakers*,67,S. O'Neal
2000,Miami Heat*,52,A. Mourning
2000,Milwaukee Bucks*,42,R. Allen
2000,Minnesota Timberwolves*,50,K. Garnett
2000,New Jersey Nets,31,S. Marbury
2000,New York Knicks*,50,A. Houston
2000,Orlando Magic,41,D. Armstrong
2000,Philadelphia 76ers*,49,A. Iverson
2000,Phoenix Suns*,53,C. Robinson
2000,Portland Trail Blazers*,59,S. Smith
2000,Sacramento Kings*,44,C. Webber
2000,San Antonio Spurs*,53,T. Duncan
2000,Toronto Raptors*,45,V. Carter
2000,Utah Jazz*,55,K. Malone
2000,Washington Wizards,29,M. Richmond
