playerName,position_x,team,games_x,points,assists,totalRb,steals,blocks,turnovers,effectFgPercent,season,position_y,games_y,per,usagePercent,offensiveWs,defensiveWs,winShares,offensiveBox,defensiveBox,vorp,teamName,wins,topWsPlayer
Tariq Abdul-Wahad,SG,SAC,49,454,50,186,50,16,70,0.442,1999,SG,49,11.8,19.000,0.5,0.9,1.4,-2.5,-0.5,-0.3,,,
Shareef Abdur-Rahim,SF,VAN,50,1152,172,374,69,55,186,0.438,1999,SF,50,20.7,28.900,3.7,0.9,4.6,2.9,-0.9,2.1,,,
Cory Alexander,PG,DEN,36,261,119,74,35,5,69,0.431,1999,PG,36,11.0,20.300,-0.2,0.0,-0.3,-2.1,-1.3,-0.3,,,
Ray Allen*,SG,MIL,50,856,178,212,53,7,122,0.505,1999,SG,50,18.9,24.500,4.2,1.1,5.2,3.5,-1.0,1.9,,,
Peter Aluma,C,SAC,2,2,0,2,1,1,2,0.500,1999,C,2,3.1,34.100,0.0,0.0,0.0,-26.4,6.6,0.0,,,
Derek Anderson,SG,CLE,38,409,145,109,48,4,82,0.432,1999,SG,38,16.5,23.400,1.1,1.0,2.1,1.3,0.3,0.9,,,
Kenny Anderson,PG,BOS,34,412,193,103,33,2,71,0.459,1999,PG,34,16.7,20.900,1.8,0.6,2.4,1.1,-1.0,0.5,,,
Nick Anderson,SF,ORL,47,701,91,277,64,15,83,0.470,1999,SF,47,15.3,22.800,1.3,2.6,3.9,1.5,0.6,1.7,,,
Shandon Anderson,SG,UTA,50,427,56,132,39,10,66,0.466,1999,SG,50,12.8,21.600,0.7,1.3,2.0,-1.0,-0.1,0.3,,,
Chris Anstey,C,DAL,41,134,27,97,18,13,26,0.360,1999,C,41,9.2,18.200,-0.2,0.4,0.3,-4.7,0.3,-0.3,,,
Greg Anthony,PG,POR,50,319,100,63,66,3,55,0.512,1999,PG,50,16.6,19.600,1.3,1.5,2.8,0.9,3.1,1.2,,,
B.J. Armstrong,PG,TOT,32,105,61,39,12,0,25,0.494,1999,PG,32,12.9,15.800,0.4,0.4,0.7,-1.6,0.4,0.1,,,
B.J. Armstrong,PG,CHH,10,57,27,16,3,0,10,0.558,1999,PG,10,13.3,15.300,0.3,0.1,0.4,0.2,-0.7,0.1,,,
B.J. Armstrong,PG,ORL,22,48,34,23,9,0,15,0.433,1999,PG,22,12.4,16.300,0.0,0.3,0.3,-3.3,1.4,0.0,,,
Darrell Armstrong,PG,ORL,50,690,335,180,108,4,158,0.507,1999,PG,50,22.2,22.900,3.8,2.7,6.4,4.2,2.4,3.3,,,
Keith Askins,SF,MIA,33,53,10,44,17,3,13,0.387,1999,SF,33,3.5,9.400,-0.3,0.5,0.2,-5.2,1.7,-0.2,,,
Stacey Augmon,SF,POR,48,208,58,125,57,18,30,0.448,1999,SF,48,13.0,12.400,1.0,1.6,2.6,-1.0,3.7,1.0,,,
